"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Tom Brady",TB,"at ATL","4 out of 5 stars","A+","23.6"
"2","Lamar Jackson",BAL,"at PIT","4 out of 5 stars","A+","22.7"
"3","Patrick Mahomes II",KC,"vs. DEN","3 out of 5 stars","A","22.2"
"4","Josh Allen",BUF,"vs. NE","1 out of 5 stars","A-","21.7"
"5","Justin Herbert",LAC,"at CIN","3 out of 5 stars","A-","21.4"
"6","Kyler Murray",ARI,"at CHI","4 out of 5 stars","B+","21.0"
"7","Matthew Stafford",LAR,"vs. JAC","4 out of 5 stars","B+","20.6"
"8","Dak Prescott",DAL,"at NO","3 out of 5 stars","B","20.2"
"9","Kirk Cousins",MIN,"at DET","4 out of 5 stars","B","19.8"
"10","Derek Carr",LV,"vs. WAS","4 out of 5 stars","B-","19.3"
"11","Joe Burrow",CIN,"vs. LAC","3 out of 5 stars","B-","19.0"
"12","Carson Wentz",IND,"at HOU","4 out of 5 stars","C+","18.6"
"13","Taysom Hill",NO,"vs. DAL","2 out of 5 stars","C+","18.3"
"14","Russell Wilson",SEA,"vs. SF","3 out of 5 stars","C+","18.1"
"15","Taylor Heinicke",WAS,"at LV","3 out of 5 stars","C","17.8"
"16","Tua Tagovailoa",MIA,"vs. NYG","2 out of 5 stars","C","17.3"
"17","Jimmy Garoppolo",SF,"at SEA","3 out of 5 stars","C-","16.9"
"18","Tyrod Taylor",HOU,"vs. IND","4 out of 5 stars","C-","16.5"
"19","Gardner Minshew II",PHI,"at NYJ","4 out of 5 stars","D+","16.0"
"20","Teddy Bridgewater",DEN,"at KC","3 out of 5 stars","D","15.6"
"21","Matt Ryan",ATL,"vs. TB","3 out of 5 stars","D","15.3"
"22","Mac Jones",NE,"at BUF","2 out of 5 stars","D-","14.9"
"23","Ben Roethlisberger",PIT,"vs. BAL","4 out of 5 stars","D-","14.5"
"24","Andy Dalton",CHI,"vs. ARI","2 out of 5 stars","F","14.0"
"25","Jared Goff",DET,"vs. MIN","3 out of 5 stars","F","13.6"
"26","Trevor Lawrence",JAC,"at LAR","3 out of 5 stars","F","13.2"
"27","Zach Wilson",NYJ,"vs. PHI","2 out of 5 stars","F","12.8"
"28","Mike Glennon",NYG,"at MIA","3 out of 5 stars","F","12.4"
"29","Trey Lance",SF,"at SEA","3 out of 5 stars","F","1.6"
"30","Trevor Siemian",NO,"vs. DAL","2 out of 5 stars","F","1.3"
"31","Marcus Mariota",LV,"vs. WAS","4 out of 5 stars","F","1.2"
"32","Joe Flacco",NYJ,"vs. PHI","2 out of 5 stars","F","1.0"
"33","Tim Boyle",DET,"vs. MIN","3 out of 5 stars","F","1.0"
"34","Colt McCoy",ARI,"at CHI","4 out of 5 stars","F","0.9"
"35","Sam Ehlinger",IND,"at HOU","4 out of 5 stars","F","0.9"
"36","Drew Lock",DEN,"at KC","3 out of 5 stars","F","0.9"
"37","Nick Foles",CHI,"vs. ARI","2 out of 5 stars","F","0.9"
"38","Jake Fromm",NYG,"at MIA","3 out of 5 stars","F","0.8"
