"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Christian McCaffrey",CAR,"13","4 out of 5 stars","0"
"2",1,"Alvin Kamara",NO,"6","4 out of 5 stars","+1"
"3",1,"Dalvin Cook",MIN,"7","3 out of 5 stars","-1"
"4",2,"Derrick Henry",TEN,"13","2 out of 5 stars","0"
"5",2,"Ezekiel Elliott",DAL,"7","2 out of 5 stars","0"
"6",2,"Aaron Jones",GB,"13","2 out of 5 stars","0"
"7",2,"Austin Ekeler",LAC,"7","3 out of 5 stars","0"
"8",2,"Saquon Barkley",NYG,"10","3 out of 5 stars","0"
"9",3,"Jonathan Taylor",IND,"14","3 out of 5 stars","+1"
"10",3,"Antonio Gibson",WAS,"9","4 out of 5 stars","+2"
"11",3,"Nick Chubb",CLE,"13","4 out of 5 stars","-2"
"12",3,"Joe Mixon",CIN,"10","4 out of 5 stars","+1"
"13",3,"Najee Harris",PIT,"7","4 out of 5 stars","-2"
"14",3,"Clyde Edwards-Helaire",KC,"12","4 out of 5 stars","0"
"15",3,"D'Andre Swift",DET,"9","3 out of 5 stars","+3"
"16",3,"David Montgomery",CHI,"10","4 out of 5 stars","-1"
"17",3,"Chris Carson",SEA,"9","1 out of 5 stars","-1"
"18",4,"James Robinson",JAC,"7","3 out of 5 stars","-1"
"19",4,"Miles Sanders",PHI,"14","3 out of 5 stars","+1"
"20",4,"Josh Jacobs",LV,"8","2 out of 5 stars","-1"
"21",4,"Mike Davis",ATL,"6","3 out of 5 stars","+1"
"22",4,"Myles Gaskin",MIA,"14","4 out of 5 stars","-1"
"23",4,"Darrell Henderson Jr.",LAR,"11","2 out of 5 stars","+3"
"24",4,"Kareem Hunt",CLE,"13","4 out of 5 stars","-1"
"25",4,"Damien Harris",NE,"14","4 out of 5 stars","+4"
"26",4,"Chase Edmonds",ARI,"12","2 out of 5 stars","-2"
"27",4,"Javonte Williams",DEN,"11","4 out of 5 stars","-2"
"28",5,"Raheem Mostert",SF,"6","3 out of 5 stars","0"
"29",5,"Trey Sermon",SF,"6","3 out of 5 stars","+2"
"30",5,"Melvin Gordon III",DEN,"11","4 out of 5 stars","0"
"31",5,"Ronald Jones II",TB,"9","3 out of 5 stars","+2"
"32",5,"James Conner",ARI,"12","2 out of 5 stars","+3"
"33",5,"Kenyan Drake",LV,"8","2 out of 5 stars","+6"
"34",5,"Jamaal Williams",DET,"9","3 out of 5 stars","+7"
"35",5,"Michael Carter",NYJ,"6","3 out of 5 stars","-1"
"36",5,"Nyheim Hines",IND,"14","3 out of 5 stars","+6"
"37",5,"Zack Moss",BUF,"7","2 out of 5 stars","-1"
"38",5,"Leonard Fournette",TB,"9","3 out of 5 stars","-6"
"39",5,"AJ Dillon",GB,"13","2 out of 5 stars","-2"
"40",5,"Devin Singletary",BUF,"7","2 out of 5 stars","0"
"41",6,"James White",NE,"14","4 out of 5 stars","+6"
"42",6,"Tony Pollard",DAL,"7","2 out of 5 stars","+1"
"43",6,"David Johnson",HOU,"10","2 out of 5 stars","+1"
"44",6,"J.D. McKissic",WAS,"9","4 out of 5 stars","+1"
"45",6,"Sony Michel",LAR,"11","2 out of 5 stars","-7"
"46",6,"Phillip Lindsay",MIA,"14","4 out of 5 stars","0"
"47",6,"Giovani Bernard",TB,"9","3 out of 5 stars","+4"
"48",6,"Alexander Mattison",MIN,"7","3 out of 5 stars","0"
"49",6,"Tevin Coleman",NYJ,"6","3 out of 5 stars","0"
"50",7,"Ty'Son Williams",BAL,"8","3 out of 5 stars","+6"
"51",7,"Rashaad Penny",SEA,"9","1 out of 5 stars","+6"
"52",7,"Carlos Hyde",JAC,"7","3 out of 5 stars","+20"
"53",7,"Kenneth Gainwell",PHI,"14","3 out of 5 stars","+1"
"54",7,"Damien Williams",CHI,"10","4 out of 5 stars","+7"
"55",7,"Darrel Williams",KC,"12","4 out of 5 stars","+4"
"56",7,"Rhamondre Stevenson",NE,"14","4 out of 5 stars","-6"
"57",7,"Malcolm Brown",MIA,"14","4 out of 5 stars","+5"
"58",7,"Justin Jackson",LAC,"7","3 out of 5 stars","+16"
