"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Jonathan Taylor",IND,"at HOU","3 out of 5 stars","A+","23.6"
"2","Austin Ekeler",LAC,"at CIN","3 out of 5 stars","A+","20.6"
"3","Joe Mixon",CIN,"vs. LAC","3 out of 5 stars","A+","19.0"
"4","Najee Harris",PIT,"vs. BAL","3 out of 5 stars","A","18.1"
"5","Leonard Fournette",TB,"at ATL","4 out of 5 stars","A","17.4"
"6","Elijah Mitchell",SF,"at SEA","3 out of 5 stars","A","17.4"
"7","Cordarrelle Patterson",ATL,"vs. TB","3 out of 5 stars","A","16.1"
"8","Alvin Kamara",NO,"vs. DAL","4 out of 5 stars","A","15.3"
"9","Alexander Mattison",MIN,"at DET","4 out of 5 stars","A","15.2"
"10","James Conner",ARI,"at CHI","3 out of 5 stars","A-","15.0"
"11","James Robinson",JAC,"at LAR","2 out of 5 stars","A-","14.3"
"12","Antonio Gibson",WAS,"at LV","4 out of 5 stars","A-","14.2"
"13","Darrell Henderson Jr.",LAR,"vs. JAC","3 out of 5 stars","B+","14.1"
"14","Ezekiel Elliott",DAL,"at NO","1 out of 5 stars","B+","13.5"
"15","Saquon Barkley",NYG,"at MIA","3 out of 5 stars","B+","13.2"
"16","David Montgomery",CHI,"vs. ARI","2 out of 5 stars","B","12.7"
"17","Myles Gaskin",MIA,"vs. NYG","2 out of 5 stars","B","12.4"
"18","Josh Jacobs",LV,"vs. WAS","2 out of 5 stars","B","12.2"
"19","Miles Sanders",PHI,"at NYJ","5 out of 5 stars","B","12.1"
"20","Javonte Williams",DEN,"at KC","3 out of 5 stars","B","11.2"
"21","Tony Pollard",DAL,"at NO","1 out of 5 stars","B-","11.2"
"22","Clyde Edwards-Helaire",KC,"vs. DEN","3 out of 5 stars","B-","10.8"
"23","Melvin Gordon III",DEN,"at KC","3 out of 5 stars","B-","10.7"
"24","Jamaal Williams",DET,"vs. MIN","3 out of 5 stars","B","10.1"
"25","Damien Harris",NE,"at BUF","5 out of 5 stars","C+","10.0"
"26","Devonta Freeman",BAL,"at PIT","3 out of 5 stars","C+","9.9"
"27","Boston Scott",PHI,"at NYJ","5 out of 5 stars","C+","9.8"
"28","Rhamondre Stevenson",NE,"at BUF","5 out of 5 stars","C+","9.7"
"29","Devin Singletary",BUF,"vs. NE","3 out of 5 stars","C","9.4"
"30","Matt Breida",BUF,"vs. NE","3 out of 5 stars","C","9.3"
"31","Alex Collins",SEA,"vs. SF","2 out of 5 stars","C","9.2"
"32","Tevin Coleman",NYJ,"vs. PHI","4 out of 5 stars","C","9.2"
"33","J.D. McKissic",WAS,"at LV","4 out of 5 stars","C","9.0"
"34","Rex Burkhead",HOU,"vs. IND","1 out of 5 stars","C","8.9"
"35","Ty Johnson",NYJ,"vs. PHI","4 out of 5 stars","C","8.5"
"36","Darrel Williams",KC,"vs. DEN","3 out of 5 stars","C-","8.3"
"37","Nyheim Hines",IND,"at HOU","3 out of 5 stars","C-","7.9"
"38","Latavius Murray",BAL,"at PIT","3 out of 5 stars","C-","7.9"
"39","David Johnson",HOU,"vs. IND","1 out of 5 stars","D+","7.5"
"40","Kenyan Drake",LV,"vs. WAS","2 out of 5 stars","D+","7.2"
"41","Jeff Wilson Jr.",SF,"at SEA","3 out of 5 stars","D+","6.9"
"42","DeeJay Dallas",SEA,"vs. SF","2 out of 5 stars","D","6.9"
"43","Sony Michel",LAR,"vs. JAC","3 out of 5 stars","D","6.8"
"44","Mark Ingram II",NO,"vs. DAL","4 out of 5 stars","D","6.5"
"45","Mike Davis",ATL,"vs. TB","3 out of 5 stars","D-","6.5"
"46","Ronald Jones II",TB,"at ATL","4 out of 5 stars","D-","6.3"
"47","Brandon Bolden",NE,"at BUF","5 out of 5 stars","D-","6.2"
"48","D'Andre Swift",DET,"vs. MIN","3 out of 5 stars","C-","6.0"
"49","Devontae Booker",NYG,"at MIA","3 out of 5 stars","F","5.8"
"50","Carlos Hyde",JAC,"at LAR","2 out of 5 stars","F","5.6"
"51","Samaje Perine",CIN,"vs. LAC","3 out of 5 stars","F","5.2"
"52","Giovani Bernard",TB,"at ATL","4 out of 5 stars","F","5.1"
"53","Kenneth Gainwell",PHI,"at NYJ","5 out of 5 stars","F","5.1"
