"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Travis Kelce",KC,"vs. DEN","3 out of 5 stars","A+","11.3"
"2","George Kittle",SF,"at SEA","3 out of 5 stars","A","10.9"
"3","Mark Andrews",BAL,"at PIT","2 out of 5 stars","A-","9.8"
"4","Rob Gronkowski",TB,"at ATL","5 out of 5 stars","B+","9.0"
"5","Kyle Pitts",ATL,"vs. TB","4 out of 5 stars","B","8.8"
"6","T.J. Hockenson",DET,"vs. MIN","1 out of 5 stars","B-","7.8"
"7","Dawson Knox",BUF,"vs. NE","3 out of 5 stars","C+","7.7"
"8","Dallas Goedert",PHI,"at NYJ","4 out of 5 stars","C+","7.4"
"9","Dalton Schultz",DAL,"at NO","1 out of 5 stars","C","7.2"
"10","Pat Freiermuth",PIT,"vs. BAL","4 out of 5 stars","C","7.2"
"11","Mike Gesicki",MIA,"vs. NYG","2 out of 5 stars","C","7.0"
"12","Foster Moreau",LV,"vs. WAS","3 out of 5 stars","C","6.8"
"13","Logan Thomas",WAS,"at LV","4 out of 5 stars","C-","6.8"
"14","Zach Ertz",ARI,"at CHI","3 out of 5 stars","D+","6.7"
"15","Tyler Higbee",LAR,"vs. JAC","4 out of 5 stars","D+","6.6"
"16","Noah Fant",DEN,"at KC","4 out of 5 stars","D+","5.7"
"17","Cole Kmet",CHI,"vs. ARI","2 out of 5 stars","D","4.9"
"18","Hunter Henry",NE,"at BUF","3 out of 5 stars","D","4.7"
"19","Tyler Conklin",MIN,"at DET","3 out of 5 stars","D","4.7"
"20","Gerald Everett",SEA,"vs. SF","3 out of 5 stars","D","4.7"
"21","Jared Cook",LAC,"at CIN","3 out of 5 stars","D","4.5"
"22","Jack Doyle",IND,"at HOU","4 out of 5 stars","D-","4.3"
"23","C.J. Uzomah",CIN,"vs. LAC","5 out of 5 stars","D-","4.0"
"24","Evan Engram",NYG,"at MIA","3 out of 5 stars","F","3.9"
"25","Ryan Griffin",NYJ,"vs. PHI","4 out of 5 stars","F","3.5"
"26","James O'Shaughnessy",JAC,"at LAR","2 out of 5 stars","F","3.0"
"27","Jonnu Smith",NE,"at BUF","3 out of 5 stars","F","2.9"
"28","Brevin Jordan",HOU,"vs. IND","3 out of 5 stars","F","2.8"
"29","Albert Okwuegbunam",DEN,"at KC","4 out of 5 stars","F","2.7"
"30","Donald Parham Jr.",LAC,"at CIN","3 out of 5 stars","F","2.7"
"31","Mo Alie-Cox",IND,"at HOU","4 out of 5 stars","F","2.7"
"32","Cameron Brate",TB,"at ATL","5 out of 5 stars","F","2.6"
"33","Juwan Johnson",NO,"vs. DAL","3 out of 5 stars","F","2.6"
"34","Will Dissly",SEA,"vs. SF","3 out of 5 stars","F","2.4"
"35","Durham Smythe",MIA,"vs. NYG","2 out of 5 stars","F","2.4"
"36","Jimmy Graham",CHI,"vs. ARI","2 out of 5 stars","F","2.4"
"37","Nick Vannett",NO,"vs. DAL","3 out of 5 stars","F","2.4"
"38","John Bates",WAS,"at LV","4 out of 5 stars","F","2.3"
"39","Pharaoh Brown",HOU,"vs. IND","3 out of 5 stars","F","2.1"
"40","O.J. Howard",TB,"at ATL","5 out of 5 stars","F","2.1"
"41","Kylen Granson",IND,"at HOU","4 out of 5 stars","F","2.0"
"42","Kyle Rudolph",NYG,"at MIA","3 out of 5 stars","F","2.0"
"43","Daniel Helm",LV,"vs. WAS","3 out of 5 stars","F","1.9"
"44","Stephen Anderson",LAC,"at CIN","3 out of 5 stars","F","1.9"
"45","Jesse James",CHI,"vs. ARI","2 out of 5 stars","F","1.8"
"46","Brock Wright",DET,"vs. MIN","1 out of 5 stars","F","1.8"
"47","Chris Myarick",NYG,"at MIA","3 out of 5 stars","F","1.8"
"48","Chris Manhertz",JAC,"at LAR","2 out of 5 stars","F","1.5"
"49","Chris Herndon IV",MIN,"at DET","3 out of 5 stars","F","1.5"
"50","Zach Gentry",PIT,"vs. BAL","4 out of 5 stars","F","1.4"
"51","Noah Gray",KC,"vs. DEN","3 out of 5 stars","F","1.4"
"52","Drew Sample",CIN,"vs. LAC","5 out of 5 stars","F","1.4"
"53","Parker Hesse",ATL,"vs. TB","4 out of 5 stars","F","1.3"
"54","Tommy Sweeney",BUF,"vs. NE","3 out of 5 stars","F","1.3"
"55","Garrett Griffin",NO,"vs. DAL","3 out of 5 stars","F","1.3"
"56","Nick Boyle",BAL,"at PIT","2 out of 5 stars","F","1.3"
"57","Blake Bell",KC,"vs. DEN","3 out of 5 stars","F","1.2"
"58","Sean McKeon",DAL,"at NO","1 out of 5 stars","F","1.2"
"59","Lee Smith",ATL,"vs. TB","4 out of 5 stars","F","1.1"
"60","Charlie Woerner",SF,"at SEA","3 out of 5 stars","F","1.1"
"61","Tre' McKitty",LAC,"at CIN","3 out of 5 stars","F","1.1"
"62","Ross Dwelley",SF,"at SEA","3 out of 5 stars","F","1.0"
"63","Kendall Blanton",LAR,"vs. JAC","4 out of 5 stars","F","1.0"
"64","Antony Auclair",HOU,"vs. IND","3 out of 5 stars","F","1.0"
"65","Darrell Daniels",ARI,"at CHI","3 out of 5 stars","F","1.0"
"66","Eric Saubert",DEN,"at KC","4 out of 5 stars","F","1.0"
"67","Hunter Long",MIA,"vs. NYG","2 out of 5 stars","F","0.9"
"68","Jack Stoll",PHI,"at NYJ","4 out of 5 stars","F","0.9"
"69","Luke Farrell",JAC,"at LAR","2 out of 5 stars","F","0.9"
"70","Colby Parkinson",SEA,"vs. SF","3 out of 5 stars","F","0.8"
"71","Josh Oliver",BAL,"at PIT","2 out of 5 stars","F","0.8"
"72","Tyree Jackson",PHI,"at NYJ","4 out of 5 stars","F","0.8"
"73","Eric Tomlinson",BAL,"at PIT","2 out of 5 stars","F","0.8"
