"WR","Overall","Player","Team","Bye","MFL","Fantrax","FFC","Sleeper","AVG"
"1","8","Davante Adams","GB","13","1","1","1","1","1.0"
"2","11","Tyreek Hill","KC","12","2","2","2","2","2.0"
"3","16","Stefon Diggs","BUF","7","3","3","3","3","3.0"
"4","18","D.K. Metcalf","SEA","9","4","4","4","6","4.5"
"5","20","DeAndre Hopkins","ARI","12","6","5","6","4","5.3"
"6","21","Calvin Ridley","ATL","6","5","6","5","5","5.3"
"7","25","Justin Jefferson","MIN","7","7","7","7","10","7.8"
"8","23","A.J. Brown","TEN","13","8","8","8","7","7.8"
"9","31","Keenan Allen","LAC","7","9","9","9","8","8.8"
"10","33","Terry McLaurin","WAS","9","11","10","11","9","10.3"
"11","34","Mike Evans","TB","9","10","12","12","11","11.3"
"12","36","CeeDee Lamb","DAL","7","13","11","10","13","11.8"
"13","38","Allen Robinson II","CHI","10","14","13","13","12","13.0"
"14","41","Chris Godwin","TB","9","12","15","17","15","14.8"
"15","42","Robert Woods","LAR","11 ","15","14","14","17","15.0"
"16","43","Julio Jones","TEN","13","17","17","15","14","15.8"
"17","44","Amari Cooper","DAL","7","18","16","16","16","16.5"
"18","47","Adam Thielen","MIN","7","16","18","18","18","17.5"
"19","51","Cooper Kupp","LAR","11","20","19","19","20","19.5"
"20","57","D.J. Moore","CAR","13","19","21","23","19","20.5"
"21","55","Tyler Lockett","SEA","9","21","20","20","21","20.5"
"22","60","Diontae Johnson","PIT","7","22","22","22","22","22.0"
"23","66","Brandon Aiyuk","SF","6","24","25","21","23","23.3"
"24","67","Chase Claypool","PIT","7","27","24","24","28","25.8"
"25","69","Odell Beckham Jr.","LAR","11","25","27","26","25","25.8"
"26","71","Ja'Marr Chase","CIN","10","26","23","29","29","26.8"
"27","72","Tee Higgins","CIN","10","28","26","28","27","27.3"
"28","73","Michael Thomas","N","6 O","30","32","25","24","27.8"
"29","74","Kenny Golladay","NYG","10","31","29","32","26","29.5"
